Max Speed,Count
75.3,68867.0
74.0,68867.0
78.2,68867.0
75.7,68867.0
79.2,68867.0
77.7,68867.0
75.7,68867.0
77.7,68867.0
70.0,68867.0
75.6,68867.0
78.6,68867.0
69.0,68867.0
75.8,68867.0
68.0,68867.0
80.6,68867.0
74.0,68867.0
75.9,68867.0
76.0,68867.0
70.6,68867.0
75.7,68867.0
70.5,68867.0
75.1,68867.0
75.9,68867.0
76.3,68867.0
75.3,68867.0
71.6,68867.0
75.3,68867.0
72.9,68867.0
66.2,68867.0
76.5,68867.0
69.5,68867.0
79.5,26820.0
75.0,26820.0
78.6,55859.0
75.0,55859.0
75.9,68867.0
75.0,68867.0
82.2,68867.0
75.0,68867.0
80.1,68867.0
75.0,68867.0
82.1,68867.0
75.0,68867.0
76.3,68867.0
69.8,68867.0
76.5,68867.0
75.0,68867.0
76.6,68867.0
66.2,68867.0
74.2,68867.0
66.2,68867.0
73.1,68867.0
69.2,68867.0
77.7,68867.0
81.1,68867.0
69.1,68867.0
76.3,68867.0
76.7,68867.0
70.2,68867.0
76.3,68867.0
75.7,68867.0
75.0,68867.0
76.9,68867.0
75.5,68867.0
75.0,68867.0
75.0,68867.0
75.7,68867.0
79.5,68867.0
77.6,68867.0
66.2,68867.0
70.8,68867.0
75.0,68002.0
82.6,68867.0
75.0,68867.0
78.7,68867.0
75.0,68867.0
78.8,68867.0
-inf,0.0
76.6,68867.0
75.6,63108.0
77.5,67714.0
79.9,68867.0
75.0,68867.0
75.3,68867.0
77.5,68867.0
73.0,68867.0
75.0,68867.0
78.8,68867.0
79.3,68867.0
79.7,68867.0
75.3,68867.0
70.5,68867.0
66.5,68867.0
78.3,68867.0
77.3,68867.0
70.5,6913.0
70.5,68867.0
66.2,6913.0
79.3,68867.0
76.7,68867.0
68.0,68867.0
77.4,68867.0
70.1,68867.0
76.7,68867.0
68.9,68867.0
79.1,68867.0
75.0,68867.0
71.5,68867.0
79.1,68867.0
81.2,68867.0
74.3,68867.0
69.4,68867.0
76.5,68867.0
78.9,68867.0
81.2,68867.0
75.0,68867.0
70.0,68867.0
77.6,68867.0
75.0,68867.0
76.0,68867.0
72.3,68867.0
75.4,68867.0
71.7,68867.0
77.5,68867.0
73.5,68867.0
78.6,68867.0
75.0,68867.0
74.1,68867.0
68.8,68867.0
74.9,68867.0
69.0,68867.0
78.1,68867.0
71.1,68867.0
-inf,0.0
74.4,68867.0
71.8,68867.0
79.8,68867.0
69.5,68867.0
79.9,68867.0
79.5,68867.0
79.1,68867.0
78.3,68867.0
72.9,68867.0
72.6,68867.0
77.1,68867.0
71.8,68867.0
75.0,68867.0
79.1,68867.0
73.2,68867.0
72.0,68867.0
76.3,68867.0
70.6,68867.0
76.9,68867.0
70.0,68867.0
78.1,68867.0
79.2,68867.0
70.4,68867.0
72.0,68867.0
66.2,68867.0
76.8,68867.0
75.0,68867.0
76.6,68867.0
78.0,68867.0
68.6,68867.0
79.6,68867.0
75.0,68867.0
74.4,68867.0
80.3,68867.0
76.5,68867.0
69.6,68867.0
75.1,68867.0
75.9,61955.0
75.0,61955.0
70.0,63108.0
73.8,5183.0
74.7,61955.0
69.7,61955.0
74.2,68867.0
70.3,68867.0
73.9,68867.0
77.8,68867.0
79.7,5759.0
76.9,10655.0
72.6,68867.0
71.4,68867.0
84.9,56196.0
76.9,68867.0
81.9,68867.0
78.9,2303.0
84.7,56196.0
77.1,68867.0
75.5,575.0
77.4,12671.0
76.4,68867.0
77.5,68867.0
69.6,68867.0
70.2,68867.0
80.1,68867.0
79.3,68867.0
76.5,68867.0
72.7,21060.0
76.5,68867.0
76.4,68867.0
77.6,68867.0
76.3,68867.0
77.1,68867.0
79.7,68867.0
76.3,68867.0
81.3,68867.0
80.6,68867.0
77.7,68867.0
80.9,68867.0
74.9,68867.0
74.7,68867.0
77.3,68867.0
78.0,68867.0
77.1,68867.0
75.8,47807.0
77.8,68867.0
76.3,68867.0
75.1,68867.0
75.5,68867.0
74.8,68867.0
74.7,68867.0
75.9,68867.0
74.9,68867.0
75.4,68867.0
73.4,68867.0
78.0,68867.0
75.8,68867.0
76.0,68867.0
77.1,68867.0
78.7,68867.0
73.0,68867.0
75.6,68867.0
80.8,68867.0
78.9,68867.0
78.4,68867.0
83.8,68867.0
78.0,68867.0
69.6,65412.0
69.6,68867.0
69.6,68867.0
69.6,68867.0
75.3,68867.0
69.6,68867.0
76.9,68867.0
73.3,68867.0
77.2,68867.0
77.1,68867.0
76.6,68867.0
76.6,68867.0
68.3,68867.0
77.6,68867.0
75.0,68867.0
70.6,68867.0
73.6,68867.0
75.5,12671.0
69.8,22788.0
69.8,22788.0
75.3,68867.0
82.1,68867.0
77.5,68867.0
76.9,68867.0
71.1,68867.0
76.7,68867.0
71.2,68867.0
75.2,68867.0
73.9,68867.0
76.7,68867.0
75.0,68867.0
79.6,68867.0
75.0,68867.0
76.4,68867.0
70.9,68867.0
66.2,21636.0
80.7,68867.0
72.2,68867.0
68.6,68867.0
78.5,68867.0
71.6,68867.0
74.7,68867.0
71.7,68292.0
69.4,68867.0
77.1,68867.0
75.1,68867.0
70.3,68867.0
76.4,68867.0
71.2,68867.0
78.6,68867.0
75.0,68867.0
75.9,68867.0
69.7,68867.0
75.0,68867.0
76.1,68867.0
80.1,68867.0
75.0,68867.0
78.2,68867.0
75.0,68867.0
77.4,68867.0
70.3,68867.0
77.9,68867.0
75.0,68867.0
73.0,68867.0
78.5,68867.0
79.6,68867.0
75.0,68867.0
80.0,68867.0
69.9,68867.0
75.1,68867.0
70.8,68867.0
66.2,68867.0
66.2,68867.0
70.2,68867.0
77.5,68867.0
75.0,68867.0
79.2,68867.0
75.0,68867.0
79.8,68867.0
75.0,68867.0
74.7,68867.0
75.0,68867.0
75.0,68867.0
77.6,68867.0
79.7,68867.0
76.5,68867.0
74.7,68867.0
76.9,68867.0
76.5,68867.0
76.1,68867.0
-inf,0.0
